system:index,defo,elevation,rand,slope,treecover2000,.geo,lon,lat,dist_to_nearest_road_m,gfw_integrated_alert_b1,gfw_integrated_alert_present,district,split,label_std,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label
00000000000000000466,0.0,603.0,0.0416200890234137,3.0,51.0,"{""type"":""Point"",""coordinates"":[108.5190108874088,14.248178973378776]}",108.5190108874088,14.248178973378776,795.2681731572152,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000054b,0.0,658.0,0.337932508912233,5.0,51.0,"{""type"":""Point"",""coordinates"":[108.52736724278296,14.23955507194141]}",108.52736724278296,14.23955507194141,1319.4080132135489,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000115,0.0,499.0,0.4199685538911556,3.0,52.0,"{""type"":""Point"",""coordinates"":[108.5564717953588,14.188618760607898]}",108.5564717953588,14.188618760607898,507.0440892286651,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000606,0.0,876.0,0.1465012190764795,5.0,52.0,"{""type"":""Point"",""coordinates"":[108.54892699637637,14.440865648100278]}",108.54892699637637,14.440865648100278,53.22974209964124,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000003df,0.0,612.0,0.3845715872342506,21.0,52.0,"{""type"":""Point"",""coordinates"":[108.50418883550714,14.245213671178234]}",108.50418883550714,14.245213671178234,623.7036201642412,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000030f,0.0,613.0,0.3487828654168764,30.0,52.0,"{""type"":""Point"",""coordinates"":[108.49017833999721,14.169484757987565]}",108.4901783399972,14.169484757987563,557.0698454636063,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000027d,0.0,672.0,0.439750285313189,1.0,54.0,"{""type"":""Point"",""coordinates"":[108.54084264616648,14.273778672526612]}",108.54084264616648,14.273778672526612,44.96145460889307,31837.0,1,KBang,train,0,,,,,,,,,,
0000000000000000009b,0.0,718.0,0.0503734260034782,3.0,54.0,"{""type"":""Point"",""coordinates"":[108.52251574083681,14.274590228918335]}",108.5225157408368,14.274590228918337,29.298343820521524,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000008,0.0,526.0,0.3642911544218108,6.0,54.0,"{""type"":""Point"",""coordinates"":[108.5009559872434,14.255723772361202]}",108.5009559872434,14.255723772361202,211.13255974475197,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000004a6,0.0,609.0,0.5421003758609244,11.0,54.0,"{""type"":""Point"",""coordinates"":[108.57048674996977,14.213950913692528]}",108.57048674996976,14.213950913692528,178.66421260015073,0.0,0,KBang,train,0,,,,,,,,,,
