system:index,district,split,lon,lat,treecover2000,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,loss_any_2001_2024,loss_first_year,label_train_period,label_test_period,defo,label,risk_baseline,risk_logreg,risk_rf,warn_top5_rf,warn_top10_rf,label_hansen_loss_any
00000000000000000037_0,KBang,test,108.42873192748074,14.18889076577216,82,829,16.750973,3298.5777985565364,2757.9068181550247,0,0,0,0,0.0,,0.5196436071070145,0.36685487145291734,0.4042346148894695,0,0,0
000000000000000000b1_0,KBang,test,108.47400518047635,14.15142985782216,82,651,17.12491,3179.5106303691864,2674.302724357361,0,0,0,0,0.0,,0.5450126838740963,0.5214522505602266,0.508705816811581,0,0,0
00000000000000000033_0,KBang,test,108.5960864491176,14.356784838636502,83,842,18.499424,3001.057534530759,2400.0190920016626,0,0,0,0,0.0,,0.439006659168489,0.38374347489299365,0.24162113429013224,0,0,0
00000000000000000082_0,KBang,test,108.53167919350165,14.37430018757444,85,901,5.628536,3057.4028005301952,2452.323266195249,0,0,0,0,0.0,,0.5383532559043283,0.35032406619340906,0.39836606093784943,0,0,0
00000000000000000013_0,KBang,test,108.42846438141753,14.401790545568934,85,1071,1.9144537,3056.5912619680166,2430.7695342178336,0,0,0,0,0.0,,0.5147481398304101,0.18200315458353253,0.19630019354534148,0,0,0
00000000000000000045_0,KBang,test,108.64513656070552,14.137686908375438,85,649,5.9899917,2804.7301520854235,2443.115315972568,0,0,0,0,0.0,,0.5568889979542736,0.5151066705327662,0.310806520025532,0,0,0
0000000000000000004e_0,KBang,test,108.53329338808298,14.387236039730483,85,871,11.857009,3057.4028005301952,2452.323266195249,0,0,0,0,0.0,,0.49926993958748905,0.3950612260108987,0.3437806219087702,0,0,0
0000000000000000004d_0,KBang,test,108.37698851885656,14.440326096872807,85,1114,8.605004,3230.138293027878,2568.9875608114658,0,0,0,0,0.0,,0.4880509551917945,0.15007551027584998,0.33149414297674445,0,0,0
000000000000000000b7_0,KBang,test,108.50311419215326,14.078126695604563,85,778,9.10457,3250.9848297685385,2783.4902848679035,0,0,0,0,0.0,,0.591242023443607,0.3479501034686919,0.3664467609665944,0,0,0
00000000000000000089_0,KBang,test,108.42981102993566,14.328754929414542,85,856,15.880461,3878.7206017300487,3091.2550926978347,0,0,0,0,0.0,,0.6501829889423167,0.5063078794947561,0.3415401139618846,0,0,0
00000000000000000051_0,KBang,test,108.53545159299286,14.127176807192468,85,724,17.692076,3335.206618718803,2843.7770705979806,0,0,0,0,0.0,,0.5605759540169977,0.4191549388590106,0.44339345538171393,0,0,0
00000000000000000019_0,KBang,test,108.51469893669012,14.086211045814462,85,1053,5.436663,3250.9848297685385,2783.4902848679035,0,0,0,0,0.0,,0.5360203511371264,0.08548895853842266,0.19767598677529175,0,0,0
000000000000000000ac_0,KBang,test,108.39208257592249,14.587471972535472,86,1221,10.992985,3121.39150339365,2463.6619402850083,0,0,0,0,0.0,,0.415892357375779,0.10092964016563596,0.09713598792586307,0,0,0
000000000000000000db_0,KBang,test,108.43088567328957,14.440058550809605,87,976,3.9932327,3056.5912619680166,2430.7695342178336,0,0,0,0,0.0,,0.533184821488956,0.29941833618277264,0.26239404923810333,0,0,0
00000000000000000055_0,KBang,test,108.55566469806811,14.41957789967113,87,891,10.457322,3010.9200901687145,2435.0759028388934,0,0,0,0,0.0,,0.4990436739925064,0.36087705156050864,0.23333304753966835,0,0,0
000000000000000000f2_0,KBang,test,108.57479870068843,14.207752763228235,87,624,9.93593,2988.904823511839,2527.354326276477,0,0,0,0,0.0,,0.5797510632186303,0.6282360084944628,0.4491809226695718,0,0,0
000000000000000000c0_0,KBang,test,108.40663262265988,14.23173826779472,87,782,14.350758,3484.5955844521523,2837.824403122823,0,0,0,0,0.0,,0.6058899995845946,0.5112994464668983,0.3904140451217898,0,0,0
000000000000000000c1_0,KBang,test,108.48855968631482,14.072196091203478,87,774,17.081886,3222.151947184233,2767.6180477493767,0,0,0,0,0.0,,0.530457622397398,0.4397963437002886,0.37775682157576024,0,0,0
