system:index,defo,elevation,rand,slope,treecover2000,.geo
0000000000000000050b,0,573,0.32215383719005464,9,74,"{""type"":""Point"",""coordinates"":[108.55215984464012,14.145231707357869]}"
00000000000000000097,0,829,0.03688407864898613,19,74,"{""type"":""Point"",""coordinates"":[108.44032113111865,14.244406573887561]}"
000000000000000003fb,0,969,0.061553479788534315,27,74,"{""type"":""Point"",""coordinates"":[108.32201226196862,14.432513751827175]}"
00000000000000000129,0,941,0.5904143725951637,31,74,"{""type"":""Point"",""coordinates"":[108.40043447219557,14.244406573887561]}"
0000000000000000057f,0,834,0.2533683336036858,8,75,"{""type"":""Point"",""coordinates"":[108.3319828119241,14.367022934655212]}"
0000000000000000012b,0,904,0.7751069997266254,9,75,"{""type"":""Point"",""coordinates"":[108.49367873432418,14.35301243914529]}"
00000000000000000448,0,1259,0.3888168596959699,10,75,"{""type"":""Point"",""coordinates"":[108.38911727372192,14.592591020544827]}"
00000000000000000624,0,628,0.6011670932205124,11,75,"{""type"":""Point"",""coordinates"":[108.49583693923404,14.198861315727664]}"
00000000000000000021,0,1132,0.27165650389775875,12,75,"{""type"":""Point"",""coordinates"":[108.43924202866371,14.513361713027205]}"
000000000000000000ce,0,1114,0.3971298026543175,10,76,"{""type"":""Point"",""coordinates"":[108.41417742164228,14.509049762308523]}"
000000000000000003bb,0,743,0.2935988631266715,10,76,"{""type"":""Point"",""coordinates"":[108.41148412460602,14.238208423423274]}"
00000000000000000217,0,900,0.3401711335851302,11,76,"{""type"":""Point"",""coordinates"":[108.53518404692966,14.431974200599708]}"
000000000000000005e0,0,640,0.5845063677101733,12,76,"{""type"":""Point"",""coordinates"":[108.62680965537587,14.146038804648542]}"
000000000000000001e0,0,650,0.394965819167412,15,76,"{""type"":""Point"",""coordinates"":[108.59312114691707,14.227426317076038]}"
0000000000000000052d,0,855,0.3985252334988676,16,76,"{""type"":""Point"",""coordinates"":[108.49799068504285,14.098339800679835]}"
00000000000000000262,0,749,0.033161481213707544,17,76,"{""type"":""Point"",""coordinates"":[108.48478728682359,14.141726853929864]}"
000000000000000003f4,0,645,0.793936488597052,17,76,"{""type"":""Point"",""coordinates"":[108.56374904827801,14.135528703465573]}"
000000000000000005f9,0,693,0.6621259111830818,17,76,"{""type"":""Point"",""coordinates"":[108.47454473170384,14.219074420802936]}"
000000000000000002ca,0,542,0.2739904135289509,21,76,"{""type"":""Point"",""coordinates"":[108.54919454243958,14.1527765063403]}"
00000000000000000017,0,782,0.5070866319762681,22,76,"{""type"":""Point"",""coordinates"":[108.53410494447472,14.12690480202821]}"
00000000000000000022,0,1172,0.026791680661917727,23,76,"{""type"":""Point"",""coordinates"":[108.41444942680654,14.514975907608552]}"
000000000000000003e7,0,870,0.08260115308945415,25,76,"{""type"":""Point"",""coordinates"":[108.35327501945432,14.479133653340948]}"
00000000000000000395,0,948,0.48702624831434027,27,76,"{""type"":""Point"",""coordinates"":[108.31796785731314,14.382924089011802]}"
000000000000000001b6,0,1174,0.024757517567499554,31,76,"{""type"":""Point"",""coordinates"":[108.31770031124992,14.35381953643596]}"
000000000000000004d7,0,759,0.4823774853206957,32,76,"{""type"":""Point"",""coordinates"":[108.49287163703349,14.134449601010637]}"
000000000000000005e6,0,992,0.10301148788307202,36,76,"{""type"":""Point"",""coordinates"":[108.34949816086204,14.458653002202476]}"
00000000000000000489,0,883,0.11714086233479415,3,78,"{""type"":""Point"",""coordinates"":[108.33575521141533,14.341962786734848]}"
0000000000000000060d,0,669,0.2630830325360607,5,78,"{""type"":""Point"",""coordinates"":[108.59016030381758,14.25195137286999]}"
00000000000000000350,0,876,0.7678249486845967,6,78,"{""type"":""Point"",""coordinates"":[108.32794286636971,14.331720231615085]}"
000000000000000000ca,0,877,0.25725206976455384,8,78,"{""type"":""Point"",""coordinates"":[108.59985884860883,14.406642047515081]}"
000000000000000004ea,0,1009,0.14207724998904692,15,78,"{""type"":""Point"",""coordinates"":[108.3263242126873,14.295070880056812]}"
00000000000000000305,0,687,0.5936674880063413,18,78,"{""type"":""Point"",""coordinates"":[108.42576662528019,14.248178973378776]}"
00000000000000000304,0,570,0.1970410452384438,22,78,"{""type"":""Point"",""coordinates"":[108.5486549912121,14.176762010906788]}"
00000000000000000610,0,630,0.5188060015889389,22,78,"{""type"":""Point"",""coordinates"":[108.44840548132855,14.282135027900768]}"
000000000000000005bc,0,1008,0.32665575485193754,23,78,"{""type"":""Point"",""coordinates"":[108.35677541378126,14.471321308295314]}"
000000000000000005fc,0,748,0.06903056491373294,24,78,"{""type"":""Point"",""coordinates"":[108.44166777963679,14.24602076846891]}"
000000000000000000c1,0,788,0.2854219977721023,26,78,"{""type"":""Point"",""coordinates"":[108.33683431387026,14.45299440296565]}"
0000000000000000026b,0,592,0.46094352668243876,32,78,"{""type"":""Point"",""coordinates"":[108.47023278098516,14.299110825611235]}"
000000000000000005c7,0,870,0.482611283566615,35,78,"{""type"":""Point"",""coordinates"":[108.48909923754229,14.138222000501855]}"
0000000000000000063a,0,867,0.1105291933325585,4,79,"{""type"":""Point"",""coordinates"":[108.55000609883129,14.407449144805756]}"
0000000000000000032f,0,876,0.27396832309415753,5,79,"{""type"":""Point"",""coordinates"":[108.54622924023903,14.438439897127205]}"
0000000000000000019d,0,641,0.03281215606696686,19,79,"{""type"":""Point"",""coordinates"":[108.54191728952034,14.116394700845238]}"
00000000000000000147,0,688,0.658350888845997,6,81,"{""type"":""Point"",""coordinates"":[108.54650124540329,14.27701597989141]}"
00000000000000000476,0,834,0.15989084223507244,13,81,"{""type"":""Point"",""coordinates"":[108.46457418174832,14.137686908375441]}"
0000000000000000002f,0,568,0.46612942300873594,14,81,"{""type"":""Point"",""coordinates"":[108.56778899383244,14.128791001773816]}"
000000000000000000bc,0,782,0.7312257301748192,14,81,"{""type"":""Point"",""coordinates"":[108.3360272165796,14.424429401617274]}"
000000000000000001f6,0,998,0.44772474032378096,22,81,"{""type"":""Point"",""coordinates"":[108.33360146560652,14.320670579204643]}"
00000000000000000404,0,856,0.3950772394738198,39,81,"{""type"":""Point"",""coordinates"":[108.44813347616429,14.316630633650224]}"
000000000000000003f5,0,666,0.5514470224319441,2,82,"{""type"":""Point"",""coordinates"":[108.59123494717146,14.262461474052962]}"
000000000000000004e0,0,615,0.3317934534513799,3,82,"{""type"":""Point"",""coordinates"":[108.56886809628737,14.145499253421079]}"
00000000000000000449,0,491,0.6412562283215276,5,82,"{""type"":""Point"",""coordinates"":[108.57210094455114,14.150350755367226]}"
0000000000000000040c,0,638,0.27670368803528334,6,82,"{""type"":""Point"",""coordinates"":[108.58450170458076,14.2441345687233]}"
00000000000000000184,0,633,0.327444924139047,8,82,"{""type"":""Point"",""coordinates"":[108.57857110017969,14.214490464919994]}"
0000000000000000049f,0,518,0.7403779213165848,9,82,"{""type"":""Point"",""coordinates"":[108.68259746865552,14.137954454438647]}"
000000000000000001f2,0,720,0.7885732605110253,10,82,"{""type"":""Point"",""coordinates"":[108.60444280449178,14.277283525954617]}"
000000000000000004fd,0,755,0.30915952244330924,10,82,"{""type"":""Point"",""coordinates"":[108.4748167368681,14.184039263826012]}"
00000000000000000564,0,610,0.3680352897264003,10,82,"{""type"":""Point"",""coordinates"":[108.59312114691707,14.183227707434284]}"
000000000000000005a0,0,1110,0.15586904418593983,12,82,"{""type"":""Point"",""coordinates"":[108.43439052671755,14.518480761036555]}"
000000000000000003b5,0,813,0.28091589476963885,16,82,"{""type"":""Point"",""coordinates"":[108.44840548132855,14.163286607523272]}"
0000000000000000042a,0,1008,0.13498898435663154,16,82,"{""type"":""Point"",""coordinates"":[108.32686376391476,14.289412280819992]}"
0000000000000000046c,0,655,0.6278929272768964,21,82,"{""type"":""Point"",""coordinates"":[108.54919454243957,14.138222000501855]}"
00000000000000000176,0,774,0.14809140280468058,24,82,"{""type"":""Point"",""coordinates"":[108.4117516706692,14.197782213272728]}"
000000000000000003a6,0,698,0.47103147034248405,24,82,"{""type"":""Point"",""coordinates"":[108.48155443855985,14.227698322240299]}"
00000000000000000532,0,819,0.10949302010693696,25,82,"{""type"":""Point"",""coordinates"":[108.34383956162523,14.459999650720613]}"
00000000000000000475,0,939,0.44440249673267873,30,82,"{""type"":""Point"",""coordinates"":[108.46942568369447,14.220688615384278]}"
000000000000000002ac,0,871,0.056197367922837915,9,83,"{""type"":""Point"",""coordinates"":[108.33360146560652,14.376997943711773]}"
000000000000000004fe,0,881,0.04449617539273121,10,83,"{""type"":""Point"",""coordinates"":[108.51200563965384,14.350586688172218]}"
00000000000000000133,0,632,0.7451234856358074,16,83,"{""type"":""Point"",""coordinates"":[108.6065965503006,14.206138568646887]}"
